127.0.0.1 - - [25/Feb/2017:18:42:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:23 +0530] "GET /OrganoCart/ HTTP/1.1" 200 10484
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.css HTTP/1.1" 200 25526
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:24 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/leaveslogo.png HTTP/1.1" 200 5298
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/organicproducts4.jpg HTTP/1.1" 200 116442
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/organicproducts1.jpg HTTP/1.1" 200 124144
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/social/googleplus.png HTTP/1.1" 200 5526
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/organicproducts2.jpg HTTP/1.1" 200 200325
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/social/dribbble.png HTTP/1.1" 200 5785
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/organicproducts3.jpg HTTP/1.1" 200 277570
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/logo.ico HTTP/1.1" 200 158937
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/social/twitter.png HTTP/1.1" 200 5393
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/img/social/rss.png HTTP/1.1" 200 5477
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:25 +0530] "GET /OrganoCart/resources/js/angular.js HTTP/1.1" 200 975809
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:27 +0530] "GET /OrganoCart/resources/Pimage/%7B%7Bp.ProductId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:28 +0530] "GET /OrganoCart/resources/Pimage/p1002.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:28 +0530] "GET /OrganoCart/resources/Pimage/p1003.jpg HTTP/1.1" 200 5283
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:28 +0530] "GET /OrganoCart/resources/Pimage/p1005.jpg HTTP/1.1" 200 10450
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:28 +0530] "GET /OrganoCart/resources/Pimage/p1001.jpg HTTP/1.1" 200 10297
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:42:28 +0530] "GET /OrganoCart/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/buyproductpage HTTP/1.1" 200 8139
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/css/bootstrap-theme.min.css HTTP/1.1" 200 25371
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/css/bootstrap.min.css HTTP/1.1" 200 138609
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/js/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Feb/2017:18:43:14 +0530] "GET /OrganoCart/resources/css/animate.css HTTP/1.1" 200 75599
